"key","de-DE","en-US","it-IT","es-ES"
"custom.data.type.gnd.name","GND-Verknüpfung",
"custom.data.type.gnd.config.option.mask.editor_style.value.inline","Eingebettet",
"custom.data.type.gnd.setting.mask.editor_style","Editor-Stil",
"custom.data.type.gnd.config.option.mask.editor_style.value.popover","Popover",
"custom.data.type.gnd.modal.form.url.placeholder","GND-Verknüpfung",
"custom.data.type.gnd.modal.form.text.label","Text",
"custom.data.type.gnd.edit.modal.title|text","GND-Verknüpfung",
"custom.data.type.gnd.edit.no_valid_gnd","Keine valide GND-Verknüpfung",
"custom.data.type.gnd.edit.no_gnd","Keine GND-Verknüpfung gesetzt",
"custom.data.type.gnd.modal.form.text.type","Suche auf Typ einschränken",
"custom.data.type.gnd.modal.form.text.count","Anzahl Vorschläge",
"custom.data.type.gnd.modal.form.text.searchbar","Suchbegriff eingeben",
"custom.data.type.gnd.modal.form.text.searchbar.placeholder"," Suchbegriff eingeben ... ",
"custom.data.type.gnd.modal.form.text.result.label","Gewählter Eintrag",
"custom.data.type.gnd.modal.form.text.result.placeholder","noch leer",
"custom.data.type.gnd.modal.form.text.uri.label","Zugehörige URI",
"custom.data.type.gnd.modal.form.text.uri.label.placeholder","noch leer",
"custom.data.type.gnd.url.tooltip","zu **%(name)s** bei der Deutschen Nationalbibliothek springen",
"custom.data.type.gnd.setting.schema.add_differentiatedpersons","Individualisierte Personen",
"custom.data.type.gnd.setting.schema.add_coorporates","Körperschaften",
"custom.data.type.gnd.setting.schema.add_geographicplaces","Geografika",
"custom.data.type.gnd.setting.schema.add_subjects","Sachbegriffe",
"custom.data.type.gnd.setting.mask.show_infopopup","Zeige wenn möglich erweiterte GND-Informationen. Diese werden zur Ansicht geladen, sobald die Maus über einen Eintrag in der Vorschlagsliste bewegt wird.",
"custom.data.type.gnd.setting.schema.exact_types","Auf Subklasse beschränken",
"custom.data.type.gnd.config.option.schema.exact_types.value.ALLE","Alle durchsuchen",
"custom.data.type.gnd.config.option.schema.exact_types.value.SubjectHeadingSensoStricto","SubjectHeadingSensoStricto",
"custom.data.type.gnd.config.option.schema.exact_types.value.HistoricSingleEventOrEra","HistoricSingleEventOrEra",
"custom.data.type.gnd.config.option.schema.exact_types.value.GroupOfPersons","GroupOfPersons",
"custom.data.type.gnd.config.option.schema.exact_types.value.CharactersOrMorphemes","CharactersOrMorphemes",
"custom.data.type.gnd.config.option.schema.exact_types.value.MeansOfTransportWithIndividual_name","MeansOfTransportWithIndividual_name",
"custom.data.type.gnd.config.option.schema.exact_types.value.FictiveTerm","FictiveTerm",
"custom.data.type.gnd.config.option.schema.exact_types.value.NomenclatureInBiologyOrChemistry","NomenclatureInBiologyOrChemistry",
"custom.data.type.gnd.config.option.schema.exact_types.value.ProductNameOrBrandName","ProductNameOrBrandName",
"custom.data.type.gnd.config.option.schema.exact_types.value.SoftwareProduct","SoftwareProduct",
"custom.data.type.gnd.config.option.schema.exact_types.value.Language","Language",
"custom.data.type.gnd.config.option.schema.exact_types.value.EthnographicName","EthnographicName",
"custom.data.type.gnd.config.option.schema.exact_types.value.MeansOfTransportWithIndividualName","MeansOfTransportWithIndividualName",
"custom.data.type.gnd.config.option.schema.exact_types.value.ReligiousTerritory","ReligiousTerritory",
"custom.data.type.gnd.config.option.schema.exact_types.value.NaturalGeographicUnit","NaturalGeographicUnit",
"custom.data.type.gnd.config.option.schema.exact_types.value.TerritorialCorporateBodyOrAdministrativeUnit","TerritorialCorporateBodyOrAdministrativeUnit",
"custom.data.type.gnd.config.option.schema.exact_types.value.FictivePlace","FictivePlace",
"custom.data.type.gnd.config.option.schema.exact_types.value.BuildingOrMemorial","BuildingOrMemorial",
"custom.data.type.gnd.config.option.schema.exact_types.value.Country","Country",
"custom.data.type.gnd.config.option.schema.exact_types.value.AdministrativeUnit","AdministrativeUnit",
"custom.data.type.gnd.config.option.schema.exact_types.value.ExtraterrestrialTerritory","ExtraterrestrialTerritory",
"custom.data.type.gnd.config.option.schema.exact_types.value.MemberState","MemberState",
"custom.data.type.gnd.config.option.schema.exact_types.value.WayBorderOrLine","WayBorderOrLine",
"custom.data.type.gnd.config.option.schema.exact_types.value.NameOfSmallGeographicUnitLyingWithinAnotherGeographicUnit","NameOfSmallGeographicUnitLyingWithinAnotherGeographicUnit",
"custom.data.type.gnd.config.option.schema.exact_types.value.FictiveCorporateBody","FictiveCorporateBody",
"custom.data.type.gnd.config.option.schema.exact_types.value.OrganOfCorporateBody","OrganOfCorporateBody",
"custom.data.type.gnd.config.option.schema.exact_types.value.ProjectOrProgram","ProjectOrProgram",
"custom.data.type.gnd.config.option.schema.exact_types.value.Pseudonym","Pseudonym",
"custom.data.type.gnd.config.option.schema.exact_types.value.LiteraryOrLegendaryCharacter","LiteraryOrLegendaryCharacter",
"custom.data.type.gnd.config.option.schema.exact_types.value.Spirits","Spirits",
"custom.data.type.gnd.config.option.schema.exact_types.value.RoyalOrMemberOfARoyalHouse","RoyalOrMemberOfARoyalHouse",
"custom.data.type.gnd.config.option.schema.exact_types.value.CollectivePseudonym","CollectivePseudonym",
"custom.data.type.gnd.config.option.schema.exact_types.value.Gods","Gods",
